,Date
0,2021-10-01
1,2021-10-08
2,2021-10-15
3,2021-10-22
4,2021-10-29
5,2021-11-05
6,2021-11-12
7,2021-11-19
8,2021-11-26
9,2021-12-03
10,2021-12-10
11,2021-12-17
12,2021-12-24
13,2021-12-31
14,2022-01-07
15,2022-01-14
16,2022-01-21
17,2022-01-28
18,2022-02-04
19,2022-02-11
20,2022-02-18
21,2022-02-25
22,2022-03-04
23,2022-03-11
24,2022-03-18
25,2022-03-25
26,2022-04-01
27,2022-04-08
28,2022-04-15
29,2022-04-22
30,2022-04-29
31,2022-05-06
32,2022-05-13
33,2022-05-20
34,2022-05-27
35,2022-06-03
36,2022-06-10
37,2022-06-17
38,2022-06-24
39,2022-07-01
40,2022-07-08
41,2022-07-15
